date,number_of_hours,current_soc_mwh,soc_pct,net_power_to_be_sold_or_buy,current_release,battery_grid_power_mw,uncontrolled_power,next_soc_mwh,surplus,throughput_mwh,wear_cost,current_benefit,net_benefit,cumulative_net_benefit,cumulative_benefit,wind_only_revenue,marginal_benefit_vs_wind_only_net,price
0,0,1.5,50,1.645,0.5,0.475,1.17,1,0,0.5,2.5,120.891,118.391,118.391,120.891,85.9833,,73.49
1,1,1,33.33,1.18,0,0,1.18,1,0,0,0,85.6916,85.6916,204.0826,206.5826,85.6916,,72.62
2,2,1,33.33,1.18,0,0,1.18,1,0,0,0,83.072,83.072,287.1546,289.6546,83.072,,70.4
3,3,1,33.33,1.18,0,0,1.18,1,0,0,0,85.6916,85.6916,372.8462,375.3462,85.6916,,72.62
4,4,1,33.33,1.18,0,0,1.18,1,0,0,0,85.3258,85.3258,458.172,460.672,85.3258,,72.31
5,5,1,33.33,1.18,0,0,1.18,1,0,0,0,84.2166,84.2166,542.3886,544.8886,84.2166,,71.37
6,6,1,33.33,1.18,0,0,1.18,1,0,0,0,75.7914,75.7914,618.18,620.68,75.7914,,64.23
7,7,1,33.33,1.18,0,0,1.18,1,0,0,0,72.7942,72.7942,690.9742,693.4742,72.7942,,61.69
8,8,1,33.33,1.18,0,0,1.18,1,0,0,0,85.6916,85.6916,776.6658,779.1658,85.6916,,72.62
9,9,1,33.33,1.15,0,0,1.15,1,0,0,0,83.513,83.513,860.1788,862.6788,83.513,,72.62
10,10,1,33.33,1.16,0,0,1.16,1,0,0,0,74.2052,74.2052,934.384,936.884,74.2052,,63.97
11,11,1,33.33,1.16,0,0,1.16,1,0,0,0,70.1916,70.1916,1004.5756,1007.0756,70.1916,,60.51
12,12,1,33.33,0.0847,-1,-1.0753,1.16,2,0,1,5,3.8942,-1.1058,1003.4698,1010.9698,53.3136,,45.96
13,13,2,66.67,1.16,0,0,1.16,2,0,0,0,75.1796,75.1796,1078.6494,1086.1494,75.1796,,64.81
14,14,2,66.67,0.0847,-1,-1.0753,1.16,3,0,1,5,4.6306,-0.3694,1078.28,1090.78,63.394,,54.65
15,15,3,100,1.17,0,0,1.17,3,0,0,0,78.4368,78.4368,1156.7168,1169.2168,78.4368,,67.04
16,16,3,100,2.34,0,0,2.34,3,0,0,0,151.8192,151.8192,1308.536,1321.036,151.8192,,64.88
17,17,3,100,2.34,0,0,2.34,3,0,0,0,169.9308,169.9308,1478.4668,1490.9668,169.9308,,72.62
18,18,3,100,2.33,0,0,2.33,3,0,0,0,169.2046,169.2046,1647.6714,1660.1714,169.2046,,72.62
19,19,3,100,1.18,0,0,1.18,3,0,0,0,86.7418,86.7418,1734.4132,1746.9132,86.7418,,73.51
20,20,3,100,2.605,1.5,1.425,1.18,1.5,0,1.5,7.5,191.4935,183.9935,1918.4067,1938.4067,86.7418,,73.51
21,21,1.5,50,2.605,1.5,1.425,1.18,0,0,1.5,7.5,191.4935,183.9935,2102.4002,2129.9002,86.7418,,73.51
22,22,0,0,1.18,0,0,1.18,0,0,0,0,85.6916,85.6916,2188.0918,2215.5918,85.6916,,72.62
23,23,0,0,1.18,0,0,1.18,0,0,0,0,81.656,81.656,2269.7478,2297.2478,81.656,,69.2
24,24,0,0,1.17,0,0,1.17,0,0,0,0,84.6963,84.6963,2354.4441,2381.9441,84.6963,,72.39
25,25,0,0,1.17,0,0,1.17,0,0,0,0,84.6963,84.6963,2439.1404,2466.6404,84.6963,,72.39
26,26,0,0,1.18,0,0,1.18,0,0,0,0,82.9304,82.9304,2522.0708,2549.5708,82.9304,,70.28
27,27,0,0,1.18,0,0,1.18,0,0,0,0,81.9156,81.9156,2603.9864,2631.4864,81.9156,,69.42
28,28,0,0,1.18,0,0,1.18,0,0,0,0,72.9004,72.9004,2676.8868,2704.3868,72.9004,,61.78
29,29,0,0,1.18,0,0,1.18,0,0,0,0,71.98,71.98,2748.8668,2776.3668,71.98,,61
30,30,0,0,1.18,0,0,1.18,0,0,0,0,72.393,72.393,2821.2598,2848.7598,72.393,,61.35
31,31,0,0,0.1147,-1,-1.0753,1.19,1,0,1,5,5.4979,0.4979,2821.7577,2854.2577,57.0248,,47.92
32,32,1,33.33,1.17,0,0,1.17,1,0,0,0,81.9819,81.9819,2903.7396,2936.2396,81.9819,,70.07
33,33,1,33.33,1.16,0,0,1.16,1,0,0,0,81.5248,81.5248,2985.2644,3017.7644,81.5248,,70.28
34,34,1,33.33,0.0847,-1,-1.0753,1.16,2,0,1,5,4.3306,-0.6694,2984.595,3022.095,59.2876,,51.11
35,35,2,66.67,1.16,0,0,1.16,2,0,0,0,70.238,70.238,3054.833,3092.333,70.238,,60.55
36,36,2,66.67,1.16,0,0,1.16,2,0,0,0,64.2292,64.2292,3119.0622,3156.5622,64.2292,,55.37
37,37,2,66.67,1.2,0,0,1.2,2,0,0,0,71.376,71.376,3190.4382,3227.9382,71.376,,59.48
38,38,2,66.67,2.33,0,0,2.33,2,0,0,0,162.7738,162.7738,3353.212,3390.712,162.7738,,69.86
39,39,2,66.67,2.32,0,0,2.32,2,0,0,0,164.6736,164.6736,3517.8856,3555.3856,164.6736,,70.98
40,40,2,66.67,2.34,0,0,2.34,2,0,0,0,154.1826,154.1826,3672.0682,3709.5682,154.1826,,65.89
41,41,2,66.67,2.34,0,0,2.34,2,0,0,0,167.4504,167.4504,3839.5186,3877.0186,167.4504,,71.56
42,42,2,66.67,1.19,0,0,1.19,2,0,0,0,84.9065,84.9065,3924.4251,3961.9251,84.9065,,71.35
43,43,2,66.67,1.18,0,0,1.18,2,0,0,0,85.4202,85.4202,4009.8453,4047.3453,85.4202,,72.39
44,44,2,66.67,1.4175,0.25,0.2375,1.18,1.75,0,0.25,1.25,102.6128,101.3628,4111.2081,4149.9581,85.4202,,72.39
45,45,1.75,58.33,1.18,0,0,1.18,1.75,0,0,0,84.3464,84.3464,4195.5545,4234.3045,84.3464,,71.48
46,46,1.75,58.33,1.18,0,0,1.18,1.75,0,0,0,75.0126,75.0126,4270.5671,4309.3171,75.0126,,63.57
47,47,1.75,58.33,0,0,0,0,1.75,0,0,0,0,0,4270.5671,4309.3171,0,,62.77
48,48,1.75,58.33,2.8425,1.75,1.6625,1.18,0,0,1.75,8.75,206.1381,197.3881,4467.9552,4515.4552,85.5736,,72.52
49,49,0,0,1.18,0,0,1.18,0,0,0,0,84.3228,84.3228,4552.278,4599.778,84.3228,,71.46
50,50,0,0,1.17,0,0,1.17,0,0,0,0,77.8401,77.8401,4630.1181,4677.6181,77.8401,,66.53
51,51,0,0,1.18,0,0,1.18,0,0,0,0,84.3464,84.3464,4714.4645,4761.9645,84.3464,,71.48
52,52,0,0,1.18,0,0,1.18,0,0,0,0,78.8004,78.8004,4793.2649,4840.7649,78.8004,,66.78
53,53,0,0,2.35,0,0,2.35,0,0,0,0,139.8955,139.8955,4933.1604,4980.6604,139.8955,,59.53
54,54,0,0,0.1995,-2,-2.1505,2.35,2,0,2,10,10.2145,0.2145,4933.3749,4990.8749,120.3435,,51.21
55,55,2,66.67,1.28,0,0,1.28,2,0,0,0,72.64,72.64,5006.0149,5063.5149,72.64,,56.75
56,56,2,66.67,1.01,0,0,1.01,2,0,0,0,70.0334,70.0334,5076.0483,5133.5483,70.0334,,69.34
